승강기 관리현황,,,,,,,,
호선,역명,E/L,E/S,M/W,W/L,수직형리프트,합계,비고
5,강동,3,10,0,0,0,13,
5,길동,3,3,0,0,0,6,
5,굽은다리,3,4,0,0,0,7,
5,명일,3,2,0,0,0,5,
5,고덕,4,6,0,0,0,10,
5,상일동,6,16,0,2,0,24,
5(연),강일,8,16,0,0,0,24,
5(연),미사,4,22,0,0,0,26,
5(연),하남풍산,5,24,0,0,0,29,
5(연),하남시청,4,28,0,0,0,32,
5(연),하남검단산,4,20,0,0,0,24,
5,둔촌동,3,3,0,0,0,6,
5,올림픽공원,3,4,0,0,0,7,
5,방이,4,2,0,0,0,6,
5,오금(5),5,7,0,0,0,12,
5,개롱,3,2,0,0,0,5,
5,거여,3,3,0,0,0,6,
5,마천,3,10,0,0,0,13,
6,역촌,2,6,0,0,0,8,
6,불광(6),3,12,0,2,0,17,
6,독바위,2,8,0,0,0,10,
6,연신내(6),2,6,0,0,0,8,
6,구산,2,4,0,0,0,6,
6,응암,2,4,0,0,0,6,
6,새절,3,4,0,0,0,7,
6,증산,3,6,0,0,0,9,
6,디지털미디어시티(6),3,8,0,2,0,13,
6,월드컵경기장,3,12,0,0,0,15,
6,마포구청,4,12,0,0,0,16,
6,망원,2,2,0,0,0,4,
6,합정(6),3,12,0,0,1,16,
6,상수,3,10,0,0,0,13,
6,광흥창,3,9,0,0,0,12,
6,대흥,3,6,0,1,0,10,
6,공덕(6),5,6,0,0,0,11,
6,효창공원앞(6),2,6,0,0,0,8,
6,삼각지(6),5,4,8,0,0,17,
6,녹사평,3,13,0,0,0,16,
6,이태원,2,4,0,0,0,6,
6,한강진,3,4,0,0,0,7,
6,버티고개,5,4,0,0,0,9,
6,약수(6),4,11,0,0,0,15,
6,청구(6),5,10,0,0,0,15,
6,신당(6),1,14,2,5,0,22,
6,동묘앞(6),2,12,0,2,0,16,
6,창신,3,3,0,0,0,6,
6,보문(6),1,2,0,0,0,3,
6,안암,3,6,0,0,0,9,
6,고려대,4,12,0,0,0,16,
6,월곡,3,12,0,1,0,16,
6,상월곡,3,6,0,2,0,11,
6,돌곶이,3,4,0,0,0,7,
6,석계(6),4,14,2,2,0,22,
6,태릉입구(6),4,16,0,0,0,20,
6,화랑대,5,4,0,0,0,9,
6,봉화산,4,4,0,0,0,8,
6,신내,1,2,0,0,0,3,
7,장암,2,0,0,0,0,2,
7,도봉산,5,0,0,0,0,5,
7,수락산,3,7,0,0,0,10,
7,마들,4,8,0,1,0,13,
7,노원(7),4,15,0,0,0,19,
7,중계,3,10,0,0,0,13,
7,하계,3,6,0,0,0,9,
7,공릉,3,8,0,0,0,11,
7,태릉입구(7),2,8,0,0,0,10,
7,먹골,3,6,0,0,0,9,
7,중화,3,6,0,0,0,9,
7,상봉(7),5,6,0,0,0,11,
7,면목,3,6,0,0,0,9,
7,사가정,3,10,0,0,0,13,
7,용마산,3,8,0,0,0,11,
7,중곡,3,4,0,0,0,7,
7,군자(7),1,6,0,0,0,7,
7,어린이대공원,4,6,0,0,0,10,
7,건대입구(7),2,11,0,3,0,16,
7,자양,3,4,0,0,0,7,
7,청담,4,16,0,2,0,22,
7,강남구청(7),2,7,0,0,0,9,
7,학동,3,10,0,0,0,13,
7,논현,3,19,0,0,0,22,
7,반포,4,6,0,1,0,11,
7,고속터미널(7),2,21,0,4,0,27,
7,내방,5,10,0,0,0,15,
7,이수(7),3,23,2,2,0,30,
7,남성,4,14,0,0,0,18,
7,숭실대입구,4,12,0,0,0,16,
7,상도,3,11,0,0,0,14,
7,장승배기,3,14,0,0,0,17,
7,신대방삼거리,4,12,0,0,0,16,
7,보라매,2,4,0,0,0,6,
7,신풍,4,4,0,0,0,8,
7,대림(7),3,13,0,1,0,17,
7,남구로,3,12,0,11,0,26,
7,가산디지털단지(7),4,16,0,3,0,23,
7,철산,4,6,0,0,0,10,
7,광명사거리,3,2,0,0,0,5,
7,천왕,4,6,0,0,0,10,
7,온수(7),3,16,2,1,0,22,
8(연),암사역사공원,4,12,0,0,0,16,
8,암사,3,4,0,0,0,7,
8,천호(8),2,0,0,0,0,2,
